geo_code,geo_level,area,sex,literacy,total
83,district,Rural,Male,Literate,296833
83,district,Urban,Male,Literate,102647
84,district,Rural,Male,Literate,324741
84,district,Urban,Male,Literate,55699
85,district,Rural,Male,Literate,276558
85,district,Urban,Male,Literate,98895
86,district,Rural,Male,Literate,192288
86,district,Urban,Male,Literate,446378
87,district,Rural,Male,Literate,266086
87,district,Urban,Male,Literate,42349
88,district,Rural,Male,Literate,139717
88,district,Urban,Male,Literate,595223
89,district,Rural,Male,Literate,287360
89,district,Urban,Male,Literate,92336
7,state,Rural,Male,Literate,174327
7,state,Urban,Male,Literate,7020529
90,district,Rural,Male,Literate,87043
90,district,Urban,Male,Literate,1454909
91,district,Rural,Male,Literate,7700
91,district,Urban,Male,Literate,373915
92,district,Rural,Male,Literate,8515
92,district,Urban,Male,Literate,903966
93,district,Rural,Male,Literate,1583
93,district,Urban,Male,Literate,746799
94,district,Rural,Male,Literate,0
94,district,Urban,Male,Literate,65678
95,district,Rural,Male,Literate,0
95,district,Urban,Male,Literate,240518
96,district,Rural,Male,Literate,2563
96,district,Urban,Male,Literate,1091370
97,district,Rural,Male,Literate,61887
97,district,Urban,Male,Literate,963374
98,district,Rural,Male,Literate,5036
98,district,Urban,Male,Literate,1180000
8,state,Rural,Male,Literate,16904589
8,state,Urban,Male,Literate,6783823
99,district,Rural,Male,Literate,496935
99,district,Urban,Male,Literate,213973
100,district,Rural,Male,Literate,490362
100,district,Urban,Male,Literate,133919
101,district,Rural,Male,Literate,471918
101,district,Urban,Male,Literate,310481
102,district,Rural,Male,Literate,486256
102,district,Urban,Male,Literate,210473
103,district,Rural,Male,Literate,625672
103,district,Urban,Male,Literate,190162
104,district,Rural,Male,Literate,1083730
104,district,Urban,Male,Literate,276099
105,district,Rural,Male,Literate,745044
105,district,Urban,Male,Literate,198866
106,district,Rural,Male,Literate,344607
106,district,Urban,Male,Literate,91114
107,district,Rural,Male,Literate,449812
107,district,Urban,Male,Literate,82092
108,district,Rural,Male,Literate,378253
108,district,Urban,Male,Literate,107931
109,district,Rural,Male,Literate,513738
109,district,Urban,Male,Literate,83197
110,district,Rural,Male,Literate,1142333
110,district,Urban,Male,Literate,1412460
111,district,Rural,Male,Literate,754783
111,district,Urban,Male,Literate,240492
112,district,Rural,Male,Literate,875237
112,district,Urban,Male,Literate,227513
113,district,Rural,Male,Literate,765699
113,district,Urban,Male,Literate,500054
114,district,Rural,Male,Literate,173353
114,district,Urban,Male,Literate,37062
115,district,Rural,Male,Literate,710875
115,district,Urban,Male,Literate,72586
116,district,Rural,Male,Literate,487407
116,district,Urban,Male,Literate,56516
117,district,Rural,Male,Literate,224113
117,district,Urban,Male,Literate,85787
118,district,Rural,Male,Literate,488897
118,district,Urban,Male,Literate,178484
119,district,Rural,Male,Literate,501770
119,district,Urban,Male,Literate,424498
120,district,Rural,Male,Literate,364531
120,district,Urban,Male,Literate,113798
121,district,Rural,Male,Literate,283572
121,district,Urban,Male,Literate,88133
122,district,Rural,Male,Literate,572895
122,district,Urban,Male,Literate,204687
123,district,Rural,Male,Literate,308438
123,district,Urban,Male,Literate,74896
124,district,Rural,Male,Literate,379571
124,district,Urban,Male,Literate,36249
125,district,Rural,Male,Literate,462325
125,district,Urban,Male,Literate,51529
126,district,Rural,Male,Literate,398512
