geo_code,geo_level,area,sex,total
106,district,Urban,Male,132717
107,district,Rural,Male,668185
107,district,Urban,Male,115454
108,district,Rural,Male,564592
108,district,Urban,Male,139439
109,district,Rural,Male,751900
109,district,Urban,Male,105887
110,district,Rural,Male,1642924
110,district,Urban,Male,1825583
111,district,Rural,Male,1047469
111,district,Urban,Male,327521
112,district,Rural,Male,1368771
112,district,Urban,Male,327554
113,district,Rural,Male,1260328
113,district,Urban,Male,663600
114,district,Rural,Male,312447
114,district,Urban,Male,49261
115,district,Rural,Male,1273249
115,district,Urban,Male,95773
116,district,Rural,Male,857619
116,district,Urban,Male,79015
117,district,Rural,Male,424252
117,district,Urban,Male,109979
118,district,Rural,Male,787559
118,district,Urban,Male,237863
119,district,Rural,Male,789397
119,district,Urban,Male,534688
120,district,Rural,Male,568045
120,district,Urban,Male,160091
121,district,Rural,Male,461734
121,district,Urban,Male,115426
122,district,Rural,Male,955378
122,district,Urban,Male,265358
123,district,Rural,Male,486960
123,district,Urban,Male,94379
124,district,Rural,Male,651046
124,district,Urban,Male,45486
125,district,Rural,Male,842767
125,district,Urban,Male,64987
126,district,Rural,Male,636415
126,district,Urban,Male,146756
127,district,Rural,Male,401331
127,district,Urban,Male,619830
128,district,Rural,Male,502228
128,district,Urban,Male,131717
129,district,Rural,Male,606533
129,district,Urban,Male,118610
130,district,Rural,Male,1251316
130,district,Urban,Male,315485
131,district,Rural,Male,401171
131,district,Urban,Male,36573
9,state,Rural,Male,80992995
9,state,Urban,Male,23487515
132,district,Rural,Male,1269803
132,district,Urban,Male,564303
133,district,Rural,Male,1565004
133,district,Urban,Male,628430
134,district,Rural,Male,1438412
134,district,Urban,Male,482803
135,district,Rural,Male,1680022
135,district,Urban,Male,823164
136,district,Rural,Male,916878
136,district,Urban,Male,307011
137,district,Rural,Male,724539
137,district,Urban,Male,238910
138,district,Rural,Male,894920
138,district,Urban,Male,930823
139,district,Rural,Male,553807
139,district,Urban,Male,146263
140,district,Rural,Male,808222
140,district,Urban,Male,1680612
141,district,Rural,Male,359605
141,district,Urban,Male,530609
142,district,Rural,Male,1390490
142,district,Urban,Male,454770
143,district,Rural,Male,1308923
143,district,Urban,Male,643073
144,district,Rural,Male,659814
144,district,Urban,Male,176313
145,district,Rural,Male,962028
145,district,Urban,Male,405097
146,district,Rural,Male,1285184
146,district,Urban,Male,1079769
147,district,Rural,Male,891872
147,district,Urban,Male,440174
148,district,Rural,Male,842374
148,district,Urban,Male,151003
149,district,Rural,Male,1630376
149,district,Urban,Male,337383
150,district,Rural,Male,1530356
150,district,Urban,Male,827309
151,district,Rural,Male,886789
151,district,Urban,Male,185213
152,district,Rural,Male,1293714
152,district,Urban,Male,312689
153,district,Rural,Male,1880679
153,district,Urban,Male,242508
154,district,Rural,Male,2098123
154,district,Urban,Male,277141
155,district,Rural,Male,1906147
155,district,Urban,Male,285295
156,district,Rural,Male,1351897
156,district,Urban,Male,278190
157,district,Rural,Male,813752
157,district,Urban,Male,1580724
158,district,Rural,Male,1592449
158,district,Urban,Male,160093
159,district,Rural,Male,785301
159,district,Urban,Male,220939
160,district,Rural,Male,734245
160,district,Urban,Male,147531
161,district,Rural,Male,652740
161,district,Urban,Male,193116
162,district,Rural,Male,616494
162,district,Urban,Male,123546
163,district,Rural,Male,871508
163,district,Urban,Male,91747
164,district,Rural,Male,837260
164,district,Urban,Male,1622546
165,district,Rural,Male,683656
165,district,Urban,Male,222436
166,district,Rural,Male,615629
166,district,Urban,Male,441807
167,district,Rural,Male,549478
167,district,Urban,Male,91533
168,district,Rural,Male,481373
168,district,Urban,Male,112164
169,district,Rural,Male,368009
169,district,Urban,Male,98349
170,district,Rural,Male,819243
170,district,Urban,Male,146633
171,district,Rural,Male,476794
171,district,Urban,Male,50927
172,district,Rural,Male,1215690
172,district,Urban,Male,169032
173,district,Rural,Male,1515583
173,district,Urban,Male,90502
174,district,Rural,Male,773335
174,district,Urban,Male,65150
175,district,Rural,Male,2340959
175,district,Urban,Male,790848
176,district,Rural,Male,1533455
176,district,Urban,Male,173618
177,district,Rural,Male,1079257
177,district,Urban,Male,180371
178,district,Rural,Male,1067762
178,district,Urban,Male,144648
179,district,Rural,Male,1810496
179,district,Urban,Male,104090
180,district,Rural,Male,1695122
180,district,Urban,Male,148762
181,district,Rural,Male,573681
181,district,Urban,Male,20216
182,district,Rural,Male,1027943
182,district,Urban,Male,86778
183,district,Rural,Male,1669058
183,district,Urban,Male,118088
184,district,Rural,Male,1212141
184,district,Urban,Male,82954
185,district,Rural,Male,1182846
185,district,Urban,Male,72426
186,district,Rural,Male,802609
186,district,Urban,Male,67047
187,district,Rural,Male,1312126
187,district,Urban,Male,69628
188,district,Rural,Male,1838726
188,district,Urban,Male,439051
189,district,Rural,Male,1730377
189,district,Urban,Male,87678
190,district,Rural,Male,1373111
190,district,Urban,Male,164325
191,district,Rural,Male,2082707
191,district,Urban,Male,202297
192,district,Rural,Male,858843
192,district,Urban,Male,255866
193,district,Rural,Male,1514018
193,district,Urban,Male,158884
194,district,Rural,Male,2041217
194,district,Urban,Male,179248
195,district,Rural,Male,1711651
195,district,Urban,Male,143424
196,district,Rural,Male,890630
196,district,Urban,Male,127275
197,district,Rural,Male,1076526
197,district,Urban,Male,845331
198,district,Rural,Male,686589
198,district,Urban,Male,120510
199,district,Rural,Male,1127138
199,district,Urban,Male,185164
200,district,Rural,Male,803345
200,district,Urban,Male,167999
201,district,Rural,Male,805589
201,district,Urban,Male,141750
202,district,Rural,Male,612556
202,district,Urban,Male,151609
10,state,Rural,Male,48073850
10,state,Urban,Male,6204307
203,district,Rural,Male,1853809
203,district,Urban,Male,207301
204,district,Rural,Male,2468181
204,district,Urban,Male,213028
205,district,Rural,Male,331792
205,district,Urban,Male,14881
206,district,Rural,Male,1701685
206,district,Urban,Male,101567
207,district,Rural,Male,2244287
207,district,Urban,Male,85026
