,,State,District,Level,Name,TRU,Total,sex,literacy type
Level,130,3,41,DISTRICT,Ludhiana,Rural,557296,Male,Literate
Level,131,3,41,DISTRICT,Ludhiana,Urban,871052,Male,Literate
Level,133,3,42,DISTRICT,Moga,Rural,260725,Male,Literate
Level,134,3,42,DISTRICT,Moga,Urban,87824,Male,Literate
Level,136,3,43,DISTRICT,Firozpur,Rural,489462,Male,Literate
Level,137,3,43,DISTRICT,Firozpur,Urban,217608,Male,Literate
Level,139,3,44,DISTRICT,Muktsar,Rural,204933,Male,Literate
Level,140,3,44,DISTRICT,Muktsar,Urban,95468,Male,Literate
Level,142,3,45,DISTRICT,Faridkot,Rural,130300,Male,Literate
Level,143,3,45,DISTRICT,Faridkot,Urban,85467,Male,Literate
Level,145,3,46,DISTRICT,Bathinda,Rural,287532,Male,Literate
Level,146,3,46,DISTRICT,Bathinda,Urban,200729,Male,Literate
Level,148,3,47,DISTRICT,Mansa,Rural,182103,Male,Literate
Level,149,3,47,DISTRICT,Mansa,Urban,61934,Male,Literate
Level,151,3,48,DISTRICT,Patiala,Rural,393440,Male,Literate
Level,152,3,48,DISTRICT,Patiala,Urban,317612,Male,Literate
Level,154,3,49,DISTRICT,Amritsar,Rural,386035,Male,Literate
Level,155,3,49,DISTRICT,Amritsar,Urban,546946,Male,Literate
Level,157,3,50,DISTRICT,Tarn Taran,Rural,323165,Male,Literate
Level,158,3,50,DISTRICT,Tarn Taran,Urban,53262,Male,Literate
Level,160,3,51,DISTRICT,Rupnagar,Rural,203376,Male,Literate
Level,161,3,51,DISTRICT,Rupnagar,Urban,75158,Male,Literate
Level,163,3,52,DISTRICT,Sahibzada Ajit Singh Nagar,Rural,178533,Male,Literate
Level,164,3,52,DISTRICT,Sahibzada Ajit Singh Nagar,Urban,231411,Male,Literate
Level,166,3,53,DISTRICT,Sangrur,Rural,377587,Male,Literate
Level,167,3,53,DISTRICT,Sangrur,Urban,192826,Male,Literate
Level,169,3,54,DISTRICT,Barnala,Rural,131516,Male,Literate
Level,170,3,54,DISTRICT,Barnala,Urban,70483,Male,Literate
Level,172,4,0,STATE,CHANDIGARH,Rural,12752,Male,Literate
Level,173,4,0,STATE,CHANDIGARH,Urban,452594,Male,Literate
Level,175,4,55,DISTRICT,Chandigarh,Rural,12752,Male,Literate
Level,176,4,55,DISTRICT,Chandigarh,Urban,452594,Male,Literate
Level,178,5,0,STATE,UTTARAKHAND,Rural,2596171,Male,Literate
Level,179,5,0,STATE,UTTARAKHAND,Urban,1267537,Male,Literate
Level,181,5,56,DISTRICT,Uttarkashi,Rural,117095,Male,Literate
Level,182,5,56,DISTRICT,Uttarkashi,Urban,11142,Male,Literate
Level,184,5,57,DISTRICT,Chamoli,Rural,126871,Male,Literate
