,,State,District,Level,Name,TRU,Total,sex
Level,146,3,46,DISTRICT,Bathinda,Urban,268713,Male
Level,148,3,47,DISTRICT,Mansa,Rural,322184,Male
Level,149,3,47,DISTRICT,Mansa,Urban,86548,Male
Level,151,3,48,DISTRICT,Patiala,Rural,598800,Male
Level,152,3,48,DISTRICT,Patiala,Urban,403722,Male
Level,154,3,49,DISTRICT,Amritsar,Rural,607266,Male
Level,155,3,49,DISTRICT,Amritsar,Urban,711142,Male
Level,157,3,50,DISTRICT,Tarn Taran,Rural,514322,Male
Level,158,3,50,DISTRICT,Tarn Taran,Urban,75047,Male
Level,160,3,51,DISTRICT,Rupnagar,Rural,264089,Male
Level,161,3,51,DISTRICT,Rupnagar,Urban,93396,Male
Level,163,3,52,DISTRICT,Sahibzada Ajit Singh Nagar,Rural,240984,Male
Level,164,3,52,DISTRICT,Sahibzada Ajit Singh Nagar,Urban,288269,Male
Level,166,3,53,DISTRICT,Sangrur,Rural,604653,Male
Level,167,3,53,DISTRICT,Sangrur,Urban,273376,Male
Level,169,3,54,DISTRICT,Barnala,Rural,215210,Male
Level,170,3,54,DISTRICT,Barnala,Urban,102312,Male
Level,172,4,0,STATE,CHANDIGARH,Rural,17150,Male
Level,173,4,0,STATE,CHANDIGARH,Urban,563513,Male
Level,175,4,55,DISTRICT,Chandigarh,Rural,17150,Male
Level,176,4,55,DISTRICT,Chandigarh,Urban,563513,Male
Level,178,5,0,STATE,UTTARAKHAND,Rural,3519042,Male
Level,179,5,0,STATE,UTTARAKHAND,Urban,1618731,Male
Level,181,5,56,DISTRICT,Uttarkashi,Rural,155375,Male
Level,182,5,56,DISTRICT,Uttarkashi,Urban,13222,Male
Level,184,5,57,DISTRICT,Chamoli,Rural,160369,Male
Level,185,5,57,DISTRICT,Chamoli,Urban,33622,Male
Level,187,5,58,DISTRICT,Rudraprayag,Rural,108740,Male
Level,188,5,58,DISTRICT,Rudraprayag,Urban,5849,Male
Level,190,5,59,DISTRICT,Tehri Garhwal,Rural,259381,Male
Level,191,5,59,DISTRICT,Tehri Garhwal,Urban,38605,Male
Level,193,5,60,DISTRICT,Dehradun,Rural,392891,Male
Level,194,5,60,DISTRICT,Dehradun,Urban,499308,Male
Level,196,5,61,DISTRICT,Garhwal,Rural,268029,Male
Level,197,5,61,DISTRICT,Garhwal,Urban,58800,Male
Level,199,5,62,DISTRICT,Pithoragarh,Rural,202930,Male
Level,200,5,62,DISTRICT,Pithoragarh,Urban,36376,Male
Level,202,5,63,DISTRICT,Bageshwar,Rural,119615,Male
Level,203,5,63,DISTRICT,Bageshwar,Urban,4711,Male
Level,205,5,64,DISTRICT,Almora,Rural,257359,Male
Level,206,5,64,DISTRICT,Almora,Urban,33722,Male
Level,208,5,65,DISTRICT,Champawat,Rural,110842,Male
Level,209,5,65,DISTRICT,Champawat,Urban,20283,Male
Level,211,5,66,DISTRICT,Nainital,Rural,299257,Male
Level,212,5,66,DISTRICT,Nainital,Urban,194409,Male
Level,214,5,67,DISTRICT,Udham Singh Nagar,Rural,550470,Male
Level,215,5,67,DISTRICT,Udham Singh Nagar,Urban,308313,Male
Level,217,5,68,DISTRICT,Hardwar,Rural,633784,Male
Level,218,5,68,DISTRICT,Hardwar,Urban,371511,Male
Level,220,6,0,STATE,HARYANA,Rural,8774006,Male
Level,221,6,0,STATE,HARYANA,Urban,4720728,Male
Level,223,6,69,DISTRICT,Panchkula,Rural,133153,Male
Level,224,6,69,DISTRICT,Panchkula,Urban,166526,Male
Level,226,6,70,DISTRICT,Ambala,Rural,331703,Male
Level,227,6,70,DISTRICT,Ambala,Urban,267000,Male
Level,229,6,71,DISTRICT,Yamunanagar,Rural,393957,Male
Level,230,6,71,DISTRICT,Yamunanagar,Urban,252761,Male
Level,232,6,72,DISTRICT,Kurukshetra,Rural,361020,Male
Level,233,6,72,DISTRICT,Kurukshetra,Urban,149956,Male
Level,235,6,73,DISTRICT,Kaithal,Rural,445931,Male
Level,236,6,73,DISTRICT,Kaithal,Urban,125072,Male
Level,238,6,74,DISTRICT,Karnal,Rural,557110,Male
Level,239,6,74,DISTRICT,Karnal,Urban,240602,Male
Level,241,6,75,DISTRICT,Panipat,Rural,349642,Male
Level,242,6,75,DISTRICT,Panipat,Urban,297215,Male
Level,244,6,76,DISTRICT,Sonipat,Rural,538750,Male
Level,245,6,76,DISTRICT,Sonipat,Urban,242549,Male
Level,247,6,77,DISTRICT,Jind,Rural,550519,Male
Level,248,6,77,DISTRICT,Jind,Urban,162487,Male
Level,250,6,78,DISTRICT,Fatehabad,Rural,400814,Male
Level,251,6,78,DISTRICT,Fatehabad,Urban,94546,Male
Level,253,6,79,DISTRICT,Sirsa,Rural,514177,Male
Level,254,6,79,DISTRICT,Sirsa,Urban,168405,Male
Level,256,6,80,DISTRICT,Hisar,Rural,634139,Male
Level,257,6,80,DISTRICT,Hisar,Urban,297423,Male
Level,259,6,81,DISTRICT,Bhiwani,Rural,696212,Male
Level,260,6,81,DISTRICT,Bhiwani,Urban,170460,Male
Level,262,6,82,DISTRICT,Rohtak,Rural,332034,Male
Level,263,6,82,DISTRICT,Rohtak,Urban,236445,Male
