,,State,District,Level,Name,TRU,Total,sex
Level,638,10,203,DISTRICT,Pashchim Champaran,Urban,207301,Male
Level,640,10,204,DISTRICT,Purba Champaran,Rural,2468181,Male
Level,641,10,204,DISTRICT,Purba Champaran,Urban,213028,Male
Level,643,10,205,DISTRICT,Sheohar,Rural,331792,Male
Level,644,10,205,DISTRICT,Sheohar,Urban,14881,Male
Level,646,10,206,DISTRICT,Sitamarhi,Rural,1701685,Male
Level,647,10,206,DISTRICT,Sitamarhi,Urban,101567,Male
Level,649,10,207,DISTRICT,Madhubani,Rural,2244287,Male
Level,650,10,207,DISTRICT,Madhubani,Urban,85026,Male
Level,652,10,208,DISTRICT,Supaul,Rural,1099495,Male
Level,653,10,208,DISTRICT,Supaul,Urban,55788,Male
Level,655,10,209,DISTRICT,Araria,Rural,1374254,Male
Level,656,10,209,DISTRICT,Araria,Urban,89079,Male
Level,658,10,210,DISTRICT,Kishanganj,Rural,783318,Male
Level,659,10,210,DISTRICT,Kishanganj,Urban,83652,Male
Level,661,10,211,DISTRICT,Purnia,Rural,1519522,Male
Level,662,10,211,DISTRICT,Purnia,Urban,179848,Male
Level,664,10,212,DISTRICT,Katihar,Rural,1455744,Male
Level,665,10,212,DISTRICT,Katihar,Urban,144686,Male
Level,667,10,213,DISTRICT,Madhepura,Rural,1000760,Male
Level,668,10,213,DISTRICT,Madhepura,Urban,46799,Male
Level,670,10,214,DISTRICT,Saharsa,Rural,913883,Male
Level,671,10,214,DISTRICT,Saharsa,Urban,83291,Male
Level,673,10,215,DISTRICT,Darbhanga,Rural,1858545,Male
Level,674,10,215,DISTRICT,Darbhanga,Urban,201404,Male
Level,676,10,216,DISTRICT,Muzaffarpur,Rural,2276812,Male
Level,677,10,216,DISTRICT,Muzaffarpur,Urban,250685,Male
Level,679,10,217,DISTRICT,Gopalganj,Rural,1184967,Male
Level,680,10,217,DISTRICT,Gopalganj,Urban,82699,Male
Level,682,10,218,DISTRICT,Siwan,Rural,1579685,Male
Level,683,10,218,DISTRICT,Siwan,Urban,95405,Male
Level,685,10,219,DISTRICT,Saran,Rural,1838119,Male
Level,686,10,219,DISTRICT,Saran,Urban,184702,Male
Level,688,10,220,DISTRICT,Vaishali,Rural,1721221,Male
Level,689,10,220,DISTRICT,Vaishali,Urban,123314,Male
Level,691,10,221,DISTRICT,Samastipur,Rural,2152273,Male
Level,692,10,221,DISTRICT,Samastipur,Urban,77730,Male
Level,694,10,222,DISTRICT,Begusarai,Rural,1266308,Male
Level,695,10,222,DISTRICT,Begusarai,Urban,301352,Male
Level,697,10,223,DISTRICT,Khagaria,Rural,837281,Male
Level,698,10,223,DISTRICT,Khagaria,Urban,46505,Male
Level,700,10,224,DISTRICT,Bhagalpur,Rural,1295386,Male
Level,701,10,224,DISTRICT,Bhagalpur,Urban,320277,Male
Level,703,10,225,DISTRICT,Banka,Rural,1029097,Male
Level,704,10,225,DISTRICT,Banka,Urban,38043,Male
Level,706,10,226,DISTRICT,Munger,Rural,527299,Male
Level,707,10,226,DISTRICT,Munger,Urban,201742,Male
Level,709,10,227,DISTRICT,Lakhisarai,Rural,450863,Male
Level,710,10,227,DISTRICT,Lakhisarai,Urban,75482,Male
Level,712,10,228,DISTRICT,Sheikhpura,Rural,272360,Male
Level,713,10,228,DISTRICT,Sheikhpura,Urban,57383,Male
Level,715,10,229,DISTRICT,Nalanda,Rural,1257728,Male
Level,716,10,229,DISTRICT,Nalanda,Urban,239332,Male
Level,718,10,230,DISTRICT,Patna,Rural,1746025,Male
Level,719,10,230,DISTRICT,Patna,Urban,1332487,Male
Level,721,10,231,DISTRICT,Bhojpur,Rural,1224274,Male
Level,722,10,231,DISTRICT,Bhojpur,Urban,206106,Male
Level,724,10,232,DISTRICT,Buxar,Rural,801086,Male
Level,725,10,232,DISTRICT,Buxar,Urban,86891,Male
Level,727,10,233,DISTRICT,Kaimur (Bhabua),Rural,812298,Male
Level,728,10,233,DISTRICT,Kaimur (Bhabua),Urban,34708,Male
Level,730,10,234,DISTRICT,Rohtas,Rural,1318276,Male
Level,731,10,234,DISTRICT,Rohtas,Urban,225270,Male
Level,733,10,235,DISTRICT,Aurangabad,Rural,1194619,Male
Level,734,10,235,DISTRICT,Aurangabad,Urban,124065,Male
Level,736,10,236,DISTRICT,Gaya,Rural,1960592,Male
Level,737,10,236,DISTRICT,Gaya,Urban,305974,Male
Level,739,10,237,DISTRICT,Nawada,Rural,1031656,Male
Level,740,10,237,DISTRICT,Nawada,Urban,113012,Male
Level,742,10,238,DISTRICT,Jamui,Rural,839776,Male
Level,743,10,238,DISTRICT,Jamui,Urban,76288,Male
Level,745,10,239,DISTRICT,Jehanabad,Rural,514154,Male
Level,746,10,239,DISTRICT,Jehanabad,Urban,71428,Male
Level,748,10,240,DISTRICT,Arwal,Rural,336420,Male
Level,749,10,240,DISTRICT,Arwal,Urban,27077,Male
Level,751,11,0,STATE,SIKKIM,Rural,242797,Male
Level,752,11,0,STATE,SIKKIM,Urban,80273,Male
Level,754,11,241,DISTRICT,North  District,Rural,22274,Male
Level,755,11,241,DISTRICT,North  District,Urban,2456,Male
Level,757,11,242,DISTRICT,West District,Rural,67528,Male
Level,758,11,242,DISTRICT,West District,Urban,2710,Male
Level,760,11,243,DISTRICT,South District,Rural,65848,Male
Level,761,11,243,DISTRICT,South District,Urban,10822,Male
Level,763,11,244,DISTRICT,East District,Rural,87147,Male
Level,764,11,244,DISTRICT,East District,Urban,64285,Male
Level,766,12,0,STATE,ARUNACHAL PRADESH,Rural,546011,Male
Level,767,12,0,STATE,ARUNACHAL PRADESH,Urban,167901,Male
Level,769,12,245,DISTRICT,Tawang,Rural,20792,Male
Level,770,12,245,DISTRICT,Tawang,Urban,8359,Male
Level,772,12,246,DISTRICT,West Kameng,Rural,37809,Male
Level,773,12,246,DISTRICT,West Kameng,Urban,8346,Male
Level,775,12,247,DISTRICT,East Kameng,Rural,29506,Male
Level,776,12,247,DISTRICT,East Kameng,Urban,9269,Male
Level,778,12,248,DISTRICT,Papum Pare,Rural,39935,Male
Level,779,12,248,DISTRICT,Papum Pare,Urban,49247,Male
Level,781,12,249,DISTRICT,Upper Subansiri,Rural,34840,Male
Level,782,12,249,DISTRICT,Upper Subansiri,Urban,6918,Male
Level,784,12,250,DISTRICT,West Siang,Rural,44687,Male
Level,785,12,250,DISTRICT,West Siang,Urban,13481,Male
Level,787,12,251,DISTRICT,East Siang,Rural,36147,Male
Level,788,12,251,DISTRICT,East Siang,Urban,13969,Male
Level,790,12,252,DISTRICT,Upper Siang,Rural,15335,Male
Level,791,12,252,DISTRICT,Upper Siang,Urban,3364,Male
Level,793,12,253,DISTRICT,Changlang,Rural,66283,Male
Level,794,12,253,DISTRICT,Changlang,Urban,10665,Male
Level,796,12,254,DISTRICT,Tirap,Rural,46185,Male
Level,797,12,254,DISTRICT,Tirap,Urban,11419,Male
Level,799,12,255,DISTRICT,Lower Subansiri,Rural,35460,Male
Level,800,12,255,DISTRICT,Lower Subansiri,Urban,6383,Male
Level,802,12,256,DISTRICT,Kurung Kumey,Rural,44072,Male
Level,803,12,256,DISTRICT,Kurung Kumey,Urban,1246,Male
Level,805,12,257,DISTRICT,Dibang Valley,Rural,3098,Male
Level,806,12,257,DISTRICT,Dibang Valley,Urban,1316,Male
Level,808,12,258,DISTRICT,Lower Dibang Valley,Rural,21989,Male
Level,809,12,258,DISTRICT,Lower Dibang Valley,Urban,6064,Male
Level,811,12,259,DISTRICT,Lohit,Rural,58991,Male
Level,812,12,259,DISTRICT,Lohit,Urban,17230,Male
Level,814,12,260,DISTRICT,Anjaw,Rural,10882,Male
Level,815,12,260,DISTRICT,Anjaw,Urban,625,Male
Level,817,13,0,STATE,NAGALAND,Rural,725472,Male
Level,818,13,0,STATE,NAGALAND,Urban,299177,Male
Level,820,13,261,DISTRICT,Mon,Rural,113469,Male
Level,821,13,261,DISTRICT,Mon,Urban,18284,Male
Level,823,13,262,DISTRICT,Mokokchung,Rural,71373,Male
Level,824,13,262,DISTRICT,Mokokchung,Urban,29719,Male
Level,826,13,263,DISTRICT,Zunheboto,Rural,56786,Male
Level,827,13,263,DISTRICT,Zunheboto,Urban,14431,Male
Level,829,13,264,DISTRICT,Wokha,Rural,66435,Male
Level,830,13,264,DISTRICT,Wokha,Urban,18070,Male
Level,832,13,265,DISTRICT,Dimapur,Rural,93435,Male
Level,833,13,265,DISTRICT,Dimapur,Urban,103959,Male
Level,835,13,266,DISTRICT,Phek,Rural,70529,Male
Level,836,13,266,DISTRICT,Phek,Urban,13214,Male
Level,838,13,267,DISTRICT,Tuensang,Rural,82462,Male
Level,839,13,267,DISTRICT,Tuensang,Urban,19471,Male
Level,841,13,268,DISTRICT,Longleng,Rural,22511,Male
Level,842,13,268,DISTRICT,Longleng,Urban,3991,Male
Level,844,13,269,DISTRICT,Kiphire,Rural,29243,Male
Level,845,13,269,DISTRICT,Kiphire,Urban,8587,Male
Level,847,13,270,DISTRICT,Kohima,Rural,76369,Male
Level,848,13,270,DISTRICT,Kohima,Urban,62597,Male
Level,850,13,271,DISTRICT,Peren,Rural,42860,Male
Level,851,13,271,DISTRICT,Peren,Urban,6854,Male
Level,853,14,0,STATE,MANIPUR,Rural,1026884,Male
Level,854,14,0,STATE,MANIPUR,Urban,411702,Male
Level,856,14,272,DISTRICT,Senapati,Rural,243603,Male
Level,857,14,272,DISTRICT,Senapati,Urban,3720,Male
Level,859,14,273,DISTRICT,Tamenglong,Rural,62534,Male
Level,860,14,273,DISTRICT,Tamenglong,Urban,9837,Male
Level,862,14,274,DISTRICT,Churachandpur,Rural,129659,Male
Level,863,14,274,DISTRICT,Churachandpur,Urban,9161,Male
Level,865,14,275,DISTRICT,Bishnupur,Rural,75171,Male
Level,866,14,275,DISTRICT,Bishnupur,Urban,43611,Male
Level,868,14,276,DISTRICT,Thoubal,Rural,135470,Male
Level,869,14,276,DISTRICT,Thoubal,Urban,75375,Male
Level,871,14,277,DISTRICT,Imphal West,Rural,96948,Male
Level,872,14,277,DISTRICT,Imphal West,Urban,158106,Male
Level,874,14,278,DISTRICT,Imphal East,Rural,136789,Male
Level,875,14,278,DISTRICT,Imphal East,Urban,89305,Male
Level,877,14,279,DISTRICT,Ukhrul,Rural,80801,Male
Level,878,14,279,DISTRICT,Ukhrul,Urban,13917,Male
Level,880,14,280,DISTRICT,Chandel,Rural,65909,Male
Level,881,14,280,DISTRICT,Chandel,Urban,8670,Male
Level,883,15,0,STATE,MIZORAM,Rural,269135,Male
Level,884,15,0,STATE,MIZORAM,Urban,286204,Male
Level,886,15,281,DISTRICT,Mamit,Rural,37135,Male
Level,887,15,281,DISTRICT,Mamit,Urban,7693,Male
Level,889,15,282,DISTRICT,Kolasib,Rural,19097,Male
Level,890,15,282,DISTRICT,Kolasib,Urban,23821,Male
Level,892,15,283,DISTRICT,Aizawl,Rural,43780,Male
Level,893,15,283,DISTRICT,Aizawl,Urban,155490,Male
Level,895,15,284,DISTRICT,Champhai,Rural,39110,Male
Level,896,15,284,DISTRICT,Champhai,Urban,24278,Male
Level,898,15,285,DISTRICT,Serchhip,Rural,16643,Male
Level,899,15,285,DISTRICT,Serchhip,Urban,16208,Male
Level,901,15,286,DISTRICT,Lunglei,Rural,47577,Male
Level,902,15,286,DISTRICT,Lunglei,Urban,35314,Male
Level,904,15,287,DISTRICT,Lawngtlai,Rural,49940,Male
Level,905,15,287,DISTRICT,Lawngtlai,Urban,10659,Male
Level,907,15,288,DISTRICT,Saiha,Rural,15853,Male
Level,908,15,288,DISTRICT,Saiha,Urban,12741,Male
Level,910,16,0,STATE,TRIPURA,Rural,1387173,Male
Level,911,16,0,STATE,TRIPURA,Urban,487203,Male
Level,913,16,289,DISTRICT,West Tripura,Rural,536720,Male
Level,914,16,289,DISTRICT,West Tripura,Urban,342708,Male
Level,916,16,290,DISTRICT,South Tripura,Rural,384787,Male
Level,917,16,290,DISTRICT,South Tripura,Urban,62757,Male
Level,919,16,291,DISTRICT,Dhalai,Rural,173773,Male
Level,920,16,291,DISTRICT,Dhalai,Urban,20771,Male
Level,922,16,292,DISTRICT,North Tripura,Rural,291893,Male
Level,923,16,292,DISTRICT,North Tripura,Urban,60967,Male
Level,925,17,0,STATE,MEGHALAYA,Rural,1194260,Male
Level,926,17,0,STATE,MEGHALAYA,Urban,297572,Male
Level,928,17,293,DISTRICT,West Garo Hills,Rural,286923,Male
Level,929,17,293,DISTRICT,West Garo Hills,Urban,37236,Male
Level,931,17,294,DISTRICT,East Garo Hills,Rural,138763,Male
Level,932,17,294,DISTRICT,East Garo Hills,Urban,22460,Male
Level,934,17,295,DISTRICT,South Garo Hills,Rural,66470,Male
Level,935,17,295,DISTRICT,South Garo Hills,Urban,6700,Male
Level,937,17,296,DISTRICT,West Khasi Hills,Rural,172380,Male
Level,938,17,296,DISTRICT,West Khasi Hills,Urban,21335,Male
Level,940,17,297,DISTRICT,Ribhoi,Rural,118705,Male
Level,941,17,297,DISTRICT,Ribhoi,Urban,13826,Male
Level,943,17,298,DISTRICT,East Khasi Hills,Rural,228409,Male
Level,944,17,298,DISTRICT,East Khasi Hills,Urban,182340,Male
Level,946,17,299,DISTRICT,Jaintia Hills,Rural,182610,Male
Level,947,17,299,DISTRICT,Jaintia Hills,Urban,13675,Male
Level,949,18,0,STATE,ASSAM,Rural,13678989,Male
Level,950,18,0,STATE,ASSAM,Urban,2260454,Male
Level,952,18,300,DISTRICT,Kokrajhar,Rural,424446,Male
Level,953,18,300,DISTRICT,Kokrajhar,Urban,28459,Male
Level,955,18,301,DISTRICT,Dhubri,Rural,893914,Male
Level,956,18,301,DISTRICT,Dhubri,Urban,103934,Male
Level,958,18,302,DISTRICT,Goalpara,Rural,443244,Male
Level,959,18,302,DISTRICT,Goalpara,Urban,70048,Male
Level,961,18,303,DISTRICT,Barpeta,Rural,791789,Male
Level,962,18,303,DISTRICT,Barpeta,Urban,75215,Male
Level,964,18,304,DISTRICT,Morigaon,Rural,449123,Male
Level,965,18,304,DISTRICT,Morigaon,Urban,37528,Male
Level,967,18,305,DISTRICT,Nagaon,Rural,1250985,Male
Level,968,18,305,DISTRICT,Nagaon,Urban,188127,Male
Level,970,18,306,DISTRICT,Sonitpur,Rural,894985,Male
Level,971,18,306,DISTRICT,Sonitpur,Urban,88919,Male
Level,973,18,307,DISTRICT,Lakhimpur,Rural,482582,Male
Level,974,18,307,DISTRICT,Lakhimpur,Urban,47092,Male
Level,976,18,308,DISTRICT,Dhemaji,Rural,326278,Male
Level,977,18,308,DISTRICT,Dhemaji,Urban,24971,Male
Level,979,18,309,DISTRICT,Tinsukia,Rural,541395,Male
Level,980,18,309,DISTRICT,Tinsukia,Urban,138836,Male
Level,982,18,310,DISTRICT,Dibrugarh,Rural,550299,Male
Level,983,18,310,DISTRICT,Dibrugarh,Urban,126135,Male
Level,985,18,311,DISTRICT,Sivasagar,Rural,531286,Male
Level,986,18,311,DISTRICT,Sivasagar,Urban,57930,Male
Level,988,18,312,DISTRICT,Jorhat,Rural,442968,Male
Level,989,18,312,DISTRICT,Jorhat,Urban,113837,Male
Level,991,18,313,DISTRICT,Golaghat,Rural,493125,Male
Level,992,18,313,DISTRICT,Golaghat,Urban,50036,Male
Level,994,18,314,DISTRICT,Karbi Anglong,Rural,431924,Male
Level,995,18,314,DISTRICT,Karbi Anglong,Urban,58243,Male
Level,997,18,315,DISTRICT,Dima Hasao,Rural,77817,Male
Level,998,18,315,DISTRICT,Dima Hasao,Urban,32985,Male
Level,1000,18,316,DISTRICT,Cachar,Rural,727083,Male
Level,1001,18,316,DISTRICT,Cachar,Urban,159201,Male
Level,1003,18,317,DISTRICT,Karimganj,Rural,570510,Male
Level,1004,18,317,DISTRICT,Karimganj,Urban,55354,Male
Level,1006,18,318,DISTRICT,Hailakandi,Rural,313747,Male
Level,1007,18,318,DISTRICT,Hailakandi,Urban,24143,Male
Level,1009,18,319,DISTRICT,Bongaigaon,Rural,319786,Male
Level,1010,18,319,DISTRICT,Bongaigaon,Urban,56032,Male
Level,1012,18,320,DISTRICT,Chirang,Rural,226895,Male
Level,1013,18,320,DISTRICT,Chirang,Urban,17965,Male
Level,1015,18,321,DISTRICT,Kamrup,Rural,706140,Male
Level,1016,18,321,DISTRICT,Kamrup,Urban,72321,Male
Level,1018,18,322,DISTRICT,Kamrup Metropolitan,Rural,111062,Male
Level,1019,18,322,DISTRICT,Kamrup Metropolitan,Urban,536523,Male
Level,1021,18,323,DISTRICT,Nalbari,Rural,353677,Male
Level,1022,18,323,DISTRICT,Nalbari,Urban,42329,Male
Level,1024,18,324,DISTRICT,Baksa,Rural,475027,Male
Level,1025,18,324,DISTRICT,Baksa,Urban,6303,Male
Level,1027,18,325,DISTRICT,Darrang,Rural,446460,Male
Level,1028,18,325,DISTRICT,Darrang,Urban,28813,Male
Level,1030,18,326,DISTRICT,Udalguri,Rural,402442,Male
Level,1031,18,326,DISTRICT,Udalguri,Urban,19175,Male
Level,1033,19,0,STATE,WEST BENGAL,Rural,31844945,Male
Level,1034,19,0,STATE,WEST BENGAL,Urban,14964082,Male
Level,1036,19,327,DISTRICT,Darjiling,Rural,566965,Male
Level,1037,19,327,DISTRICT,Darjiling,Urban,370294,Male
Level,1039,19,328,DISTRICT,Jalpaiguri,Rural,1437286,Male
Level,1040,19,328,DISTRICT,Jalpaiguri,Urban,545778,Male
Level,1042,19,329,DISTRICT,Koch Bihar,Rural,1304916,Male
Level,1043,19,329,DISTRICT,Koch Bihar,Urban,146626,Male
Level,1045,19,330,DISTRICT,Uttar Dinajpur,Rural,1362469,Male
Level,1046,19,330,DISTRICT,Uttar Dinajpur,Urban,188597,Male
Level,1048,19,331,DISTRICT,Dakshin Dinajpur,Rural,737771,Male
Level,1049,19,331,DISTRICT,Dakshin Dinajpur,Urban,119428,Male
Level,1051,19,332,DISTRICT,Maldah,Rural,1768336,Male
Level,1052,19,332,DISTRICT,Maldah,Urban,283205,Male
Level,1054,19,333,DISTRICT,Murshidabad,Rural,2917822,Male
Level,1055,19,333,DISTRICT,Murshidabad,Urban,709742,Male
Level,1057,19,334,DISTRICT,Birbhum,Rural,1561976,Male
Level,1058,19,334,DISTRICT,Birbhum,Urban,228944,Male
Level,1060,19,335,DISTRICT,Barddhaman,Rural,2373787,Male
Level,1061,19,335,DISTRICT,Barddhaman,Urban,1593102,Male
Level,1063,19,336,DISTRICT,Nadia,Rural,1921112,Male
Level,1064,19,336,DISTRICT,Nadia,Urban,732656,Male
Level,1066,19,337,DISTRICT,North Twenty Four Parganas,Rural,2196554,Male
Level,1067,19,337,DISTRICT,North Twenty Four Parganas,Urban,2922835,Male
Level,1069,19,338,DISTRICT,Hugli,Rural,1722945,Male
Level,1070,19,338,DISTRICT,Hugli,Urban,1091708,Male
Level,1072,19,339,DISTRICT,Bankura,Rural,1685777,Male
Level,1073,19,339,DISTRICT,Bankura,Urban,152318,Male
Level,1075,19,340,DISTRICT,Puruliya,Rural,1304208,Male
Level,1076,19,340,DISTRICT,Puruliya,Urban,192788,Male
Level,1078,19,341,DISTRICT,Haora,Rural,909519,Male
Level,1079,19,341,DISTRICT,Haora,Urban,1591300,Male
Level,1081,19,342,DISTRICT,Kolkata,Rural,0,Male
Level,1082,19,342,DISTRICT,Kolkata,Urban,2356766,Male
Level,1084,19,343,DISTRICT,South Twenty Four Parganas,Rural,3109219,Male
Level,1085,19,343,DISTRICT,South Twenty Four Parganas,Urban,1064559,Male
Level,1087,19,344,DISTRICT,Paschim Medinipur,Rural,2641721,Male
Level,1088,19,344,DISTRICT,Paschim Medinipur,Urban,366164,Male
Level,1090,19,345,DISTRICT,Purba Medinipur,Rural,2322562,Male
Level,1091,19,345,DISTRICT,Purba Medinipur,Urban,307272,Male
Level,1093,20,0,STATE,JHARKHAND,Rural,12776486,Male
Level,1094,20,0,STATE,JHARKHAND,Urban,4153829,Male
Level,1096,20,346,DISTRICT,Garhwa,Rural,646947,Male
Level,1097,20,346,DISTRICT,Garhwa,Urban,36628,Male
Level,1099,20,347,DISTRICT,Chatra,Rural,500211,Male
Level,1100,20,347,DISTRICT,Chatra,Urban,33724,Male
Level,1102,20,348,DISTRICT,Kodarma,Rural,293595,Male
Level,1103,20,348,DISTRICT,Kodarma,Urban,73627,Male
Level,1105,20,349,DISTRICT,Giridih,Rural,1149608,Male
Level,1106,20,349,DISTRICT,Giridih,Urban,108490,Male
Level,1108,20,350,DISTRICT,Deoghar,Rural,638136,Male
Level,1109,20,350,DISTRICT,Deoghar,Urban,136886,Male
Level,1111,20,351,DISTRICT,Godda,Rural,643907,Male
Level,1112,20,351,DISTRICT,Godda,Urban,34020,Male
Level,1114,20,352,DISTRICT,Sahibganj,Rural,505892,Male
Level,1115,20,352,DISTRICT,Sahibganj,Urban,83499,Male
Level,1117,20,353,DISTRICT,Pakur,Rural,418251,Male
Level,1118,20,353,DISTRICT,Pakur,Urban,34410,Male
Level,1120,20,354,DISTRICT,Dhanbad,Rural,581956,Male
Level,1121,20,354,DISTRICT,Dhanbad,Urban,824000,Male
Level,1123,20,355,DISTRICT,Bokaro,Rural,554954,Male
Level,1124,20,355,DISTRICT,Bokaro,Urban,517853,Male
Level,1126,20,356,DISTRICT,Lohardaga,Rural,203255,Male
Level,1127,20,356,DISTRICT,Lohardaga,Urban,29374,Male
Level,1129,20,357,DISTRICT,Purbi Singhbhum,Rural,514498,Male
Level,1130,20,357,DISTRICT,Purbi Singhbhum,Urban,662404,Male
Level,1132,20,358,DISTRICT,Palamu,Rural,887551,Male
Level,1133,20,358,DISTRICT,Palamu,Urban,118751,Male
Level,1135,20,359,DISTRICT,Latehar,Rural,342566,Male
Level,1136,20,359,DISTRICT,Latehar,Urban,27100,Male
Level,1138,20,360,DISTRICT,Hazaribagh,Rural,746934,Male
Level,1139,20,360,DISTRICT,Hazaribagh,Urban,143947,Male
Level,1141,20,361,DISTRICT,Ramgarh,Rural,272167,Male
Level,1142,20,361,DISTRICT,Ramgarh,Urban,222063,Male
Level,1144,20,362,DISTRICT,Dumka,Rural,620928,Male
Level,1145,20,362,DISTRICT,Dumka,Urban,47586,Male
Level,1147,20,363,DISTRICT,Jamtara,Rural,365043,Male
Level,1148,20,363,DISTRICT,Jamtara,Urban,39787,Male
Level,1150,20,364,DISTRICT,Ranchi,Rural,840528,Male
Level,1151,20,364,DISTRICT,Ranchi,Urban,654409,Male
Level,1153,20,365,DISTRICT,Khunti,Rural,243494,Male
Level,1154,20,365,DISTRICT,Khunti,Urban,22841,Male
Level,1156,20,366,DISTRICT,Gumla,Rural,481135,Male
Level,1157,20,366,DISTRICT,Gumla,Urban,33255,Male
Level,1159,20,367,DISTRICT,Simdega,Rural,278425,Male
Level,1160,20,367,DISTRICT,Simdega,Urban,21884,Male
Level,1162,20,368,DISTRICT,Pashchimi Singhbhum,Rural,637657,Male
Level,1163,20,368,DISTRICT,Pashchimi Singhbhum,Urban,111728,Male
Level,1165,20,369,DISTRICT,Saraikela-Kharsawan,Rural,408848,Male
Level,1166,20,369,DISTRICT,Saraikela-Kharsawan,Urban,135563,Male
Level,1168,21,0,STATE,ODISHA,Rural,17586203,Male
Level,1169,21,0,STATE,ODISHA,Urban,3625933,Male
Level,1171,21,370,DISTRICT,Bargarh,Rural,672603,Male
Level,1172,21,370,DISTRICT,Bargarh,Urban,76558,Male
Level,1174,21,371,DISTRICT,Jharsuguda,Rural,176162,Male
Level,1175,21,371,DISTRICT,Jharsuguda,Urban,120528,Male
Level,1177,21,372,DISTRICT,Sambalpur,Rural,368692,Male
Level,1178,21,372,DISTRICT,Sambalpur,Urban,158185,Male
Level,1180,21,373,DISTRICT,Debagarh,Rural,146666,Male
Level,1181,21,373,DISTRICT,Debagarh,Urban,11564,Male
Level,1183,21,374,DISTRICT,Sundargarh,Rural,676068,Male
Level,1184,21,374,DISTRICT,Sundargarh,Urban,385079,Male
Level,1186,21,375,DISTRICT,Kendujhar,Rural,774667,Male
Level,1187,21,375,DISTRICT,Kendujhar,Urban,131820,Male
Level,1189,21,376,DISTRICT,Mayurbhanj,Rural,1157576,Male
Level,1190,21,376,DISTRICT,Mayurbhanj,Urban,98637,Male
Level,1192,21,377,DISTRICT,Baleshwar,Rural,1056466,Male
Level,1193,21,377,DISTRICT,Baleshwar,Urban,129321,Male
Level,1195,21,378,DISTRICT,Bhadrak,Rural,665255,Male
Level,1196,21,378,DISTRICT,Bhadrak,Urban,95005,Male
Level,1198,21,379,DISTRICT,Kendrapara,Rural,675053,Male
Level,1199,21,379,DISTRICT,Kendrapara,Urban,42761,Male
Level,1201,21,380,DISTRICT,Jagatsinghapur,Rural,516813,Male
Level,1202,21,380,DISTRICT,Jagatsinghapur,Urban,61052,Male
Level,1204,21,381,DISTRICT,Cuttack,Rural,970885,Male
Level,1205,21,381,DISTRICT,Cuttack,Urban,381875,Male
Level,1207,21,382,DISTRICT,Jajapur,Rural,856539,Male
Level,1208,21,382,DISTRICT,Jajapur,Urban,69495,Male
Level,1210,21,383,DISTRICT,Dhenkanal,Rural,551326,Male
Level,1211,21,383,DISTRICT,Dhenkanal,Urban,61267,Male
Level,1213,21,384,DISTRICT,Anugul,Rural,546385,Male
Level,1214,21,384,DISTRICT,Anugul,Urban,109333,Male
Level,1216,21,385,DISTRICT,Nayagarh,Rural,461019,Male
Level,1217,21,385,DISTRICT,Nayagarh,Urban,41617,Male
Level,1219,21,386,DISTRICT,Khordha,Rural,595809,Male
Level,1220,21,386,DISTRICT,Khordha,Urban,571328,Male
Level,1222,21,387,DISTRICT,Puri,Rural,728213,Male
Level,1223,21,387,DISTRICT,Puri,Urban,137167,Male
Level,1225,21,388,DISTRICT,Ganjam,Rural,1383636,Male
Level,1226,21,388,DISTRICT,Ganjam,Urban,395582,Male
Level,1228,21,389,DISTRICT,Gajapati,Rural,247655,Male
Level,1229,21,389,DISTRICT,Gajapati,Urban,35227,Male
Level,1231,21,390,DISTRICT,Kandhamal,Rural,323523,Male
Level,1232,21,390,DISTRICT,Kandhamal,Urban,36422,Male
Level,1234,21,391,DISTRICT,Baudh,Rural,211133,Male
Level,1235,21,391,DISTRICT,Baudh,Urban,10492,Male
Level,1237,21,392,DISTRICT,Subarnapur,Rural,285634,Male
Level,1238,21,392,DISTRICT,Subarnapur,Urban,25678,Male
Level,1240,21,393,DISTRICT,Balangir,Rural,728770,Male
Level,1241,21,393,DISTRICT,Balangir,Urban,101327,Male
Level,1243,21,394,DISTRICT,Nuapada,Rural,284792,Male
Level,1244,21,394,DISTRICT,Nuapada,Urban,17170,Male
Level,1246,21,395,DISTRICT,Kalahandi,Rural,724646,Male
Level,1247,21,395,DISTRICT,Kalahandi,Urban,62455,Male
Level,1249,21,396,DISTRICT,Rayagada,Rural,397774,Male
Level,1250,21,396,DISTRICT,Rayagada,Urban,74186,Male
Level,1252,21,397,DISTRICT,Nabarangapur,Rural,560771,Male
Level,1253,21,397,DISTRICT,Nabarangapur,Urban,44041,Male
Level,1255,21,398,DISTRICT,Koraput,Rural,563771,Male
Level,1256,21,398,DISTRICT,Koraput,Urban,115038,Male
Level,1258,21,399,DISTRICT,Malkangiri,Rural,277901,Male
Level,1259,21,399,DISTRICT,Malkangiri,Urban,25723,Male
Level,1261,22,0,STATE,CHHATTISGARH,Rural,9797426,Male
Level,1262,22,0,STATE,CHHATTISGARH,Urban,3035469,Male
Level,1264,22,400,DISTRICT,Koriya,Rural,228338,Male
Level,1265,22,400,DISTRICT,Koriya,Urban,106399,Male
Level,1267,22,401,DISTRICT,Surguja,Rural,1067908,Male
Level,1268,22,401,DISTRICT,Surguja,Urban,125221,Male
Level,1270,22,402,DISTRICT,Jashpur,Rural,386307,Male
Level,1271,22,402,DISTRICT,Jashpur,Urban,38440,Male
